Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8096224k(3274140k free), swap 15733820k(4340300k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
3.359: [GC (Allocation Failure) 3.359: [DefNew: 960K->64K(960K), 0.0023839 secs] 48971K->48509K(524224K), 0.0025075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.363: [GC (Allocation Failure) 3.363: [DefNew: 960K->64K(960K), 0.0017744 secs] 49405K->48943K(524224K), 0.0018996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.366: [GC (Allocation Failure) 3.366: [DefNew: 960K->64K(960K), 0.0021163 secs] 49839K->49377K(524224K), 0.0022079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.369: [GC (Allocation Failure) 3.369: [DefNew: 960K->64K(960K), 0.0025063 secs] 50273K->49811K(524224K), 0.0025943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.373: [GC (Allocation Failure) 3.373: [DefNew: 960K->64K(960K), 0.0022793 secs] 50707K->50245K(524224K), 0.0023863 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.377: [GC (Allocation Failure) 3.377: [DefNew: 960K->64K(960K), 0.0017290 secs] 51141K->50679K(524224K), 0.0018088 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.380: [GC (Allocation Failure) 3.380: [DefNew: 960K->64K(960K), 0.0016442 secs] 51575K->51113K(524224K), 0.0017255 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.383: [GC (Allocation Failure) 3.383: [DefNew: 960K->64K(960K), 0.0016600 secs] 52009K->51547K(524224K), 0.0017468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.386: [GC (Allocation Failure) 3.386: [DefNew: 960K->64K(960K), 0.0022971 secs] 52443K->51981K(524224K), 0.0023903 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.389: [GC (Allocation Failure) 3.389: [DefNew: 960K->64K(960K), 0.0026962 secs] 52877K->52415K(524224K), 0.0028095 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
